MSHS,Họ và Tên,Lớp,Toán,Văn,Anh,Tin học,ĐTB
HS401,Học sinh 401,12C1,5.8,7.2,7.1,9.7,7.38
HS402,Học sinh 402,11B2,4.4,6.4,10,8.4,7.84
HS403,Học sinh 403,10A1,8.4,7.5,8.3,10,8.5
HS404,Học sinh 404,12C2,3.8,7.3,5,8,5.82
HS405,Học sinh 405,12C1,9.2,9.5,10,9.2,9.58
HS406,Học sinh 406,11B1,4.4,8.1,8.5,7.8,7.46
HS407,Học sinh 407,10A3,8.6,6.7,10,9.1,8.88
HS408,Học sinh 408,10A1,7.1,4.2,7.2,8,6.74
HS409,Học sinh 409,10A3,7.4,5.5,4.2,8.4,5.94
HS410,Học sinh 410,10A3,6.1,2.6,8.9,10,7.3
HS411,Học sinh 411,10A1,9.6,5.6,8,10,8.24
HS412,Học sinh 412,10A3,7.1,7.8,7.3,9.8,7.86
HS413,Học sinh 413,10A3,9.6,6.5,10,8.4,8.9
HS414,Học sinh 414,10A3,9.1,6.4,6.3,7.4,7.1
HS415,Học sinh 415,10A3,9.2,6.2,8.5,10,8.48
HS416,Học sinh 416,10A1,7.3,6.7,10,9.4,8.68
HS417,Học sinh 417,10A2,9.6,7.4,5.7,8.8,7.44
HS418,Học sinh 418,12C2,9,6.8,8,8.3,8.02
HS419,Học sinh 419,12C2,8.7,9.5,7.5,9.4,8.52
HS420,Học sinh 420,12C1,7.4,7.8,8.9,8.8,8.36
HS421,Học sinh 421,11B1,8.7,8.6,9.6,8.6,9.02
HS422,Học sinh 422,12C1,2.6,6.5,10,8,7.42
HS423,Học sinh 423,10A2,7.7,4.3,9.1,8.2,7.68
HS424,Học sinh 424,11B1,3.6,8.9,9,7.8,7.66
HS425,Học sinh 425,11B1,4.9,5.5,10,7.1,7.5
HS426,Học sinh 426,10A1,5.3,5.5,3.3,9.7,5.42
HS427,Học sinh 427,10A1,7.9,6,9.8,10,8.7
HS428,Học sinh 428,11B1,3.8,7.2,6.4,9.3,6.62
HS429,Học sinh 429,11B1,6.5,4.3,9.5,8,7.56
HS430,Học sinh 430,10A3,9.7,4.7,3.7,9.8,6.32
HS431,Học sinh 431,11B1,9,10,7.1,8.9,8.42
HS432,Học sinh 432,11B2,5.1,7.3,6.8,8.1,6.82
HS433,Học sinh 433,10A2,5.6,5.2,6.9,7.3,6.38
HS434,Học sinh 434,10A2,7.9,6.8,7.5,9.4,7.82
HS435,Học sinh 435,11B1,4.3,7.6,4.8,8.8,6.06
HS436,Học sinh 436,10A1,5.6,4.8,4.6,8.6,5.64
HS437,Học sinh 437,10A1,6.1,6.7,8.3,8,7.48
HS438,Học sinh 438,10A3,6.4,5.2,4.5,7.6,5.64
HS439,Học sinh 439,11B1,6.3,9.4,7.6,7.3,7.64
HS440,Học sinh 440,11B2,10,6.1,1.9,8.2,5.62
HS441,Học sinh 441,10A1,6.6,8.1,9.1,7.9,8.16
HS442,Học sinh 442,10A3,7.3,4.6,6.9,7.9,6.72
HS443,Học sinh 443,11B1,9.3,9.8,5.8,6.4,7.42
HS444,Học sinh 444,12C1,6.6,6.9,7.5,8.2,7.34
HS445,Học sinh 445,11B1,5,7.4,5.2,8.5,6.26
HS446,Học sinh 446,11B1,6.5,9.1,4.1,7.7,6.3
HS447,Học sinh 447,10A1,5.3,9.4,8.5,8.7,8.08
HS448,Học sinh 448,10A3,9.6,6.8,6.9,8.8,7.8
HS449,Học sinh 449,10A3,10,9,6.8,9.9,8.5
HS450,Học sinh 450,12C2,8.3,7.2,6.7,9.5,7.68
HS451,Học sinh 451,11B2,7.8,8.7,7.2,9.6,8.1
HS452,Học sinh 452,12C1,8.2,8.2,9.4,7.6,8.56
HS453,Học sinh 453,12C1,4.9,8.8,8,9.2,7.78
HS454,Học sinh 454,11B2,6.9,8.2,7.7,9.2,7.94
HS455,Học sinh 455,12C2,5.9,6.2,6.7,7.8,6.66
HS456,Học sinh 456,12C1,10,8.7,10,9.2,9.58
HS457,Học sinh 457,11B2,6.1,8.4,6.1,8.3,7
HS458,Học sinh 458,12C2,5.1,8.4,4.7,8.4,6.26
HS459,Học sinh 459,10A2,5.6,5.4,5.5,7.6,5.92
HS460,Học sinh 460,12C2,5.7,8.6,6.4,9.1,7.24
HS461,Học sinh 461,11B2,6.3,9.3,6.2,7.1,7.02
HS462,Học sinh 462,10A1,3.5,6.8,10,9.7,8
HS463,Học sinh 463,11B1,6.9,10,3.9,8.3,6.6
HS464,Học sinh 464,11B2,6.5,9.6,4.7,8.6,6.82
HS465,Học sinh 465,12C2,4.6,9.8,8.1,9.3,7.98
HS466,Học sinh 466,10A1,6.8,8.2,7,8.5,7.5
HS467,Học sinh 467,10A2,9,8.9,7.4,9.4,8.42
HS468,Học sinh 468,10A1,8.7,6.2,6.7,8.6,7.38
HS469,Học sinh 469,10A1,7.3,7.8,7.5,8.7,7.76
HS470,Học sinh 470,11B2,2.2,5.7,7.4,9,6.34
HS471,Học sinh 471,10A1,7.9,9.5,10,7.2,8.92
HS472,Học sinh 472,12C2,7.9,9.4,7.2,8.7,8.08
HS473,Học sinh 473,12C1,5.6,4.9,7,7.5,6.4
HS474,Học sinh 474,12C2,0.3,7.5,4.1,8.3,4.86
HS475,Học sinh 475,12C1,5.4,8,2.7,9.8,5.72
HS476,Học sinh 476,10A2,8.9,4.8,9.1,8.4,8.06
HS477,Học sinh 477,10A1,9,7.6,6.8,8.1,7.66
HS478,Học sinh 478,12C2,6.7,6.6,6.3,10,7.18
HS479,Học sinh 479,10A1,7.5,7.4,5.9,8.3,7
HS480,Học sinh 480,12C1,6.5,9.7,7.6,7.9,7.86
HS481,Học sinh 481,11B2,2.9,5.8,6.6,5.9,5.56
HS482,Học sinh 482,12C2,7.3,7.1,8.8,7.6,7.92
HS483,Học sinh 483,10A1,8,7.3,4.6,9.6,6.82
HS484,Học sinh 484,11B1,4.3,6.4,5.5,8.6,6.06
HS485,Học sinh 485,12C2,5.5,7.8,9,7.8,7.82
HS486,Học sinh 486,10A2,8.9,4.7,10,10,8.72
HS487,Học sinh 487,11B2,6.3,7.6,7.3,8.7,7.44
HS488,Học sinh 488,10A1,6.6,5.5,7.6,8.6,7.18
HS489,Học sinh 489,10A2,10,6.3,5.6,8.5,7.2
HS490,Học sinh 490,10A2,10,7.1,8.7,10,8.9
HS491,Học sinh 491,12C1,3.5,6.6,6.2,8.2,6.14
HS492,Học sinh 492,10A2,7.3,7.8,8.8,8.6,8.26
HS493,Học sinh 493,12C2,3.7,8.8,8.3,8.3,7.48
HS494,Học sinh 494,12C1,8,7.4,6.4,8.7,7.38
HS495,Học sinh 495,10A1,8,7.7,3.6,7.8,6.14
HS496,Học sinh 496,10A2,8,4.1,5.9,8.7,6.52
HS497,Học sinh 497,12C1,3.4,7.8,10,6.9,7.62
HS498,Học sinh 498,12C1,3.2,7.1,6.1,9.1,6.32
HS499,Học sinh 499,12C1,6.6,6.3,1.8,8.5,5
