MSHS,H? vÖ tàn,L?p,To†n,V?n,Anh,Tin h?c,H¢a,?TB
HS324,H†Øçc sinh 324,10A2,4.7,1.9,4.6,7.2,3,4.3
HS325,H†Øçc sinh 325,11B2,2.5,3.9,2.8,0.5,8.2,3.6
HS326,H†Øçc sinh 326,10A2,9.2,6.5,0.3,2.9,3.9,4.6
HS327,H†Øçc sinh 327,10A3,5.9,4.7,1,3,5.2,4
HS328,H†Øçc sinh 328,11B1,4.4,5.9,6,1.2,0.4,3.6
HS329,H†Øçc sinh 329,10A3,0.8,1.3,4.6,4,3,2.7
HS330,H†Øçc sinh 330,12C2,1.7,5.8,6.2,6.6,6.6,5.4
HS331,H†Øçc sinh 331,12C1,5.4,9.3,9,5.9,7.6,7.4
HS332,H†Øçc sinh 332,10A3,4.8,9.3,4.7,7,4.6,6.1
HS333,H†Øçc sinh 333,11B2,3.4,2,8,7.3,8,5.7
HS334,H†Øçc sinh 334,11B1,4.7,6,3.6,7.1,0.3,4.3
HS335,H†Øçc sinh 335,12C2,6.5,2.8,6.3,6.4,7.2,5.8
HS336,H†Øçc sinh 336,10A2,3.9,3.2,5.1,5.1,9.7,5.4
HS337,H†Øçc sinh 337,11B1,2,6.3,1,0.2,2.2,2.3
HS338,H†Øçc sinh 338,10A2,6.9,8.6,8.3,5.1,9.4,7.7
HS339,H†Øçc sinh 339,11B2,6.7,3.2,2.3,6.1,3.8,4.4
HS340,H†Øçc sinh 340,11B1,5.9,2.2,8.6,5.9,8.3,6.2
HS341,H†Øçc sinh 341,10A3,4.4,0.6,4.8,6.6,5.8,4.4
HS342,H†Øçc sinh 342,10A2,5,4.8,5.4,8.6,5,5.8
HS343,H†Øçc sinh 343,10A3,0.3,0.5,1.6,7.4,9.6,3.9
HS344,H†Øçc sinh 344,10A1,1.9,7.6,2.6,8.4,0.4,4.2
HS345,H†Øçc sinh 345,10A2,9.2,7.6,1.4,1.6,4,4.8
HS346,H†Øçc sinh 346,10A2,4.9,9.5,6,3.1,2.3,5.2
HS347,H†Øçc sinh 347,10A3,5.9,6.9,6.4,8.6,5.7,6.7
HS348,H†Øçc sinh 348,12C2,4.5,1.9,0.2,7.5,5.8,4
HS349,H†Øçc sinh 349,10A1,5.9,0.1,4.7,1.5,1.8,2.8
HS350,H†Øçc sinh 350,10A3,2.3,3.2,3,5.3,1.5,3.1
HS351,H†Øçc sinh 351,12C1,1.6,2.3,3.5,4.5,1.3,2.6
HS352,H†Øçc sinh 352,12C1,6.2,3.6,3.3,5.7,1.3,4
HS353,H†Øçc sinh 353,10A3,1.9,6.5,4.2,1.9,4.1,3.7
HS354,H†Øçc sinh 354,11B2,7.2,2,2.2,7.9,0.3,3.9
HS355,H†Øçc sinh 355,11B2,1.4,1.6,9.1,3.4,0.3,3.2
HS356,H†Øçc sinh 356,10A1,8.3,7.8,5.9,4.2,9.3,7.1
HS357,H†Øçc sinh 357,11B2,0.7,7.1,9.1,4.7,5.7,5.5
HS358,H†Øçc sinh 358,10A2,0.7,0.9,4.4,4.9,9.5,4.1
HS359,H†Øçc sinh 359,11B1,7.5,2.2,1.1,1.9,5.7,3.7
HS360,H†Øçc sinh 360,10A3,8.8,4.6,7.1,8.5,0.9,6
HS361,H†Øçc sinh 361,12C2,5.9,4,8.5,4.3,2.4,5
HS362,H†Øçc sinh 362,12C2,6.9,3.2,6.3,0,9.7,5.2
HS363,H†Øçc sinh 363,11B2,8.2,10,2.2,6.3,7.6,6.9
HS364,H†Øçc sinh 364,10A1,6,5.8,4.7,7.1,8.9,6.5
HS365,H†Øçc sinh 365,10A1,5.3,10,6.4,1.8,7.8,6.3
HS366,H†Øçc sinh 366,10A1,5.6,3.2,6.7,8.8,9,6.7
HS367,H†Øçc sinh 367,10A2,4.3,9.9,1.8,1.6,9.3,5.4
HS368,H†Øçc sinh 368,10A3,5,4.2,8.9,7.1,8.8,6.8
HS369,H†Øçc sinh 369,11B1,8.4,9.3,2.3,4,2.6,5.3
HS370,H†Øçc sinh 370,12C2,4.1,1.1,9.7,4.7,4.9,4.9
HS371,H†Øçc sinh 371,12C2,6.3,1.6,7.4,1.5,6.9,4.7
HS372,H†Øçc sinh 372,10A2,9,8.6,8.3,1.1,0.3,5.5
HS373,H†Øçc sinh 373,10A3,7.5,0.9,0.4,6.4,2.4,3.5
HS374,H†Øçc sinh 374,11B1,3.9,5.2,3.4,0.2,3.8,3.3
HS375,H†Øçc sinh 375,10A3,3.8,1.4,8.6,3.5,7.8,5
HS376,H†Øçc sinh 376,11B1,3.1,6,0.6,5.9,7.4,4.6
HS377,H†Øçc sinh 377,12C1,8.6,9.6,7.9,9.1,3.4,7.7
HS378,H†Øçc sinh 378,12C2,2.2,6.4,9,8.9,0.1,5.3
HS379,H†Øçc sinh 379,12C2,8.5,4,10,5.9,3.7,6.4
HS380,H†Øçc sinh 380,12C1,9.2,0.5,0.1,9.1,4.9,4.8
HS381,H†Øçc sinh 381,11B2,7.3,3.8,2.4,1.8,8.7,4.8
HS382,H†Øçc sinh 382,10A3,6.4,7.4,1.7,6.8,2.2,4.9
HS383,H†Øçc sinh 383,10A3,2.4,3.5,2.1,1.7,4.8,2.9
HS384,H†Øçc sinh 384,10A3,2,5.5,3.7,3.6,0.3,3
HS385,H†Øçc sinh 385,12C1,1,8,4.1,2.3,2.9,3.7
HS386,H†Øçc sinh 386,10A2,4.1,9.1,4.7,0.7,7.9,5.3
HS387,H†Øçc sinh 387,12C2,8.6,2.1,3.2,3.2,7.7,5
HS388,H†Øçc sinh 388,10A1,6.4,4.2,8.1,1,7.5,5.4
HS389,H†Øçc sinh 389,11B1,1.2,3.9,9.4,3.7,3.2,4.3
HS390,H†Øçc sinh 390,11B1,1,4.1,0.7,9.3,2.9,3.6
HS391,H†Øçc sinh 391,11B1,4.5,0.5,8.8,2.9,6.2,4.6
HS392,H†Øçc sinh 392,10A1,7.5,2.9,1.2,1.7,9.6,4.6
HS393,H†Øçc sinh 393,11B2,0.7,9.1,8.3,7.5,9.7,7.1
HS394,H†Øçc sinh 394,12C1,1.8,1.3,7.6,1.2,1.2,2.6
HS395,H†Øçc sinh 395,12C1,8.9,0.7,3.8,0.4,3.2,3.4
HS396,H†Øçc sinh 396,12C1,8.9,4.2,9.6,9.5,2.3,6.9
HS397,H†Øçc sinh 397,10A3,0.8,4.7,7.4,7,1.9,4.4
HS398,H†Øçc sinh 398,11B1,6.4,1.6,0.8,1.4,0.3,2.1
HS399,H†Øçc sinh 399,10A1,7.7,7.4,9.7,9.2,5,7.8
HS400,H†Øçc sinh 400,10A3,1.2,6.5,2.4,2.2,7.2,3.9
HS401,H†Øçc sinh 401,12C1,5.8,0.7,9.8,2.4,6.8,5.1
HS402,H†Øçc sinh 402,11B2,1.7,5.6,3.2,1.1,6.4,3.6
HS403,H†Øçc sinh 403,10A1,0.3,4.4,2.6,0.3,6.2,2.8
HS404,H†Øçc sinh 404,12C2,3.2,8.5,6.4,5.5,9.1,6.5
HS405,H†Øçc sinh 405,12C1,7.7,5.5,5.2,6.8,8.6,6.8
HS406,H†Øçc sinh 406,11B1,0.6,0.9,1.9,6.5,8.8,3.7
HS407,H†Øçc sinh 407,10A3,1.7,6.8,3,7.6,8.7,5.6
HS408,H†Øçc sinh 408,10A1,4.8,8.7,8.9,5.4,5.7,6.7
HS409,H†Øçc sinh 409,10A3,2.1,1.3,7.1,2.8,0.5,2.8
HS410,H†Øçc sinh 410,10A3,7.3,0.2,6.3,4.9,7.1,5.2
HS411,H†Øçc sinh 411,10A1,0.5,10,8.3,0.7,8.8,5.7
HS412,H†Øçc sinh 412,10A3,8.2,5,5.4,6.2,7.4,6.4
HS413,H†Øçc sinh 413,10A3,5.2,6.7,3.5,2.5,3.1,4.2
HS414,H†Øçc sinh 414,10A3,3.9,2.3,6.9,4.8,6.3,4.8
HS415,H†Øçc sinh 415,10A3,1.5,2.2,0.7,6.8,6.3,3.5
HS416,H†Øçc sinh 416,10A1,0.8,9.3,3.8,9.9,0.1,4.8
HS417,H†Øçc sinh 417,10A2,4.3,8.2,2,3.3,9.8,5.5
HS418,H†Øçc sinh 418,12C2,2,9.5,1.9,6.1,1.5,4.2
HS419,H†Øçc sinh 419,12C2,3.3,3.7,9.2,5.7,6.7,5.7
HS420,H†Øçc sinh 420,12C1,0.5,7,3.7,8.1,1.2,4.1
HS421,H†Øçc sinh 421,11B1,3.9,3.3,8,7.5,4.6,5.5
HS422,H†Øçc sinh 422,12C1,1.3,5.5,1.8,1.5,1.7,2.4
HS423,H†Øçc sinh 423,10A2,4.6,8.2,6.8,6.9,7,6.7
HS424,H†Øçc sinh 424,11B1,0.1,3,0.1,4.2,7.1,2.9
HS425,H†Øçc sinh 425,11B1,3.6,4.6,5.9,4.8,2.2,4.2
HS426,H†Øçc sinh 426,10A1,9.3,1.6,9,4.8,0.4,5
HS427,H†Øçc sinh 427,10A1,2.9,6.3,7.1,8.6,0.8,5.1
HS428,H†Øçc sinh 428,11B1,0.4,2.9,2,9.9,6.6,4.4
HS429,H†Øçc sinh 429,11B1,0.2,0.2,0.7,8.7,3.9,2.7
HS430,H†Øçc sinh 430,10A3,5,9.6,5.8,4.4,6.4,6.2
HS431,H†Øçc sinh 431,11B1,5.1,4.5,4.7,7.7,9.8,6.4
HS432,H†Øçc sinh 432,11B2,7,5.3,0.5,8.5,8.6,6
HS433,H†Øçc sinh 433,10A2,9.3,1.8,1.5,4.5,1.2,3.7
HS434,H†Øçc sinh 434,10A2,9.9,2.7,5.2,6.6,7.2,6.3
HS435,H†Øçc sinh 435,11B1,0.3,0.8,0.7,7.3,6.6,3.1
HS436,H†Øçc sinh 436,10A1,5.6,5.9,6.5,4.8,1.8,4.9
HS437,H†Øçc sinh 437,10A1,5.7,7.1,2.8,9.3,0.4,5.1
HS438,H†Øçc sinh 438,10A3,6.9,2.4,1.2,6.5,5,4.4
HS439,H†Øçc sinh 439,11B1,0.6,2.3,6.1,5.9,0.5,3.1
HS440,H†Øçc sinh 440,11B2,8.7,3.8,7.9,1.2,5.9,5.5
HS441,H†Øçc sinh 441,10A1,1.2,5.5,0.7,2.6,1.4,2.3
HS442,H†Øçc sinh 442,10A3,5,2.8,1.4,4.7,9.3,4.6
HS443,H†Øçc sinh 443,11B1,6.4,2.3,5.9,1.7,8.6,5
HS444,H†Øçc sinh 444,12C1,7.7,7.2,0.3,7.1,7,5.9
HS445,H†Øçc sinh 445,11B1,1.6,8.7,2,2.1,7.1,4.3
HS446,H†Øçc sinh 446,11B1,8.2,7.4,4.3,6.1,5.3,6.3
HS447,H†Øçc sinh 447,10A1,9.5,6,1.2,2.9,8,5.5
HS448,H†Øçc sinh 448,10A3,5.2,4.6,4.5,3.5,5.3,4.6
HS449,H†Øçc sinh 449,10A3,9.2,9.9,2,2.1,0.7,4.8
HS450,H†Øçc sinh 450,12C2,9.6,2.7,0.8,6.8,7.9,5.6
HS451,H†Øçc sinh 451,11B2,0.7,1,7.1,5.8,0.2,3
HS452,H†Øçc sinh 452,12C1,7.5,2.5,5.7,8.9,2.7,5.5
HS453,H†Øçc sinh 453,12C1,6.5,7.5,5.1,4.9,1.7,5.1
HS454,H†Øçc sinh 454,11B2,7.6,6.7,6,8.7,2.9,6.4
HS455,H†Øçc sinh 455,12C2,6.6,4.7,4,4.3,2.2,4.4
HS456,H†Øçc sinh 456,12C1,6,2.2,3.6,8,5.2,5
HS457,H†Øçc sinh 457,11B2,6.3,5.3,2.7,7.7,7.2,5.8
HS458,H†Øçc sinh 458,12C2,5.3,8.9,0.5,5.5,8.2,5.7
HS459,H†Øçc sinh 459,10A2,1.7,2,8.5,5.5,4.1,4.4
HS460,H†Øçc sinh 460,12C2,4.7,9.5,8.6,3.6,6.2,6.5
HS461,H†Øçc sinh 461,11B2,9.3,9.5,2.1,9.6,2.2,6.5
HS462,H†Øçc sinh 462,10A1,2.6,9.5,8.2,4.2,2.9,5.5
HS463,H†Øçc sinh 463,11B1,5.2,9.9,0.5,5.5,4.3,5.1
HS464,H†Øçc sinh 464,11B2,9.5,9.5,8.2,2.9,4.3,6.9
HS465,H†Øçc sinh 465,12C2,0.5,3.9,9.2,9.6,4.2,5.5
HS466,H†Øçc sinh 466,10A1,9.2,3.4,4.2,3.2,6.7,5.3
HS467,H†Øçc sinh 467,10A2,9.6,6,9.2,1.4,4.3,6.1
HS468,H†Øçc sinh 468,10A1,0.2,0,1,1.9,1.9,1
HS469,H†Øçc sinh 469,10A1,0.4,8.7,0.2,4.6,5.4,3.9
HS470,H†Øçc sinh 470,11B2,1.4,5.8,1,5.4,4.6,3.6
HS471,H†Øçc sinh 471,10A1,7.8,4.8,1.4,5.9,4.8,4.9
HS472,H†Øçc sinh 472,12C2,1.5,5.1,6.5,7,1,4.2
HS473,H†Øçc sinh 473,12C1,4.5,5.8,3.9,5.1,5.2,4.9
HS474,H†Øçc sinh 474,12C2,9.2,5.9,0.1,7.8,8.3,6.3
HS475,H†Øçc sinh 475,12C1,0.3,5.3,9.4,1.4,9.2,5.1
HS476,H†Øçc sinh 476,10A2,3.7,7.9,8.2,7.8,0.7,5.7
HS477,H†Øçc sinh 477,10A1,8.1,4.1,0.1,1.5,8.4,4.4
HS478,H†Øçc sinh 478,12C2,1.8,3,5,6.9,2.2,3.8
HS479,H†Øçc sinh 479,10A1,6.1,8.6,0.8,5.1,4.9,5.1
HS480,H†Øçc sinh 480,12C1,1.3,5,9,9.9,1.4,5.3
HS481,H†Øçc sinh 481,11B2,4.8,5.7,2.6,7.7,7.9,5.7
HS482,H†Øçc sinh 482,12C2,7.1,9.3,4.4,2.4,0.9,4.8
HS483,H†Øçc sinh 483,10A1,8.3,7,9.3,4.8,5.3,6.9
HS484,H†Øçc sinh 484,11B1,5.6,0.1,0.9,0.4,9.1,3.2
HS485,H†Øçc sinh 485,12C2,4.6,7,6.9,7.8,8.4,6.9
HS486,H†Øçc sinh 486,10A2,9.5,9,7.8,3.4,3.8,6.7
HS487,H†Øçc sinh 487,11B2,8,1.9,8.7,9.5,2.5,6.1
HS488,H†Øçc sinh 488,10A1,2.1,5.2,8.9,0.5,3.1,4
HS489,H†Øçc sinh 489,10A2,5.3,1.9,5.6,4.2,7.7,4.9
HS490,H†Øçc sinh 490,10A2,3.8,3.8,7.5,5.5,6.6,5.4
HS491,H†Øçc sinh 491,12C1,8.4,7.7,9.9,3.2,7.4,7.3
HS492,H†Øçc sinh 492,10A2,0.3,9.5,2.3,5.2,0.8,3.6
HS493,H†Øçc sinh 493,12C2,6.9,6.5,4.8,2.1,7.3,5.5
HS494,H†Øçc sinh 494,12C1,9.6,5.3,7.3,3.2,0.5,5.2
HS495,H†Øçc sinh 495,10A1,7.9,5.2,9.7,0.4,2.7,5.2
HS496,H†Øçc sinh 496,10A2,2.1,4.7,5.4,6.6,4.1,4.6
HS497,H†Øçc sinh 497,12C1,9.7,8.3,3.6,9.3,5.1,7.2
HS498,H†Øçc sinh 498,12C1,1.2,1.8,3.5,6.6,5.5,3.7
HS499,H†Øçc sinh 499,12C1,9.1,3.4,3.5,0.9,6.1,4.6
